Analysis,GOID,Title,Date,Source Type,Authors,Publication ID,Publication Title,Publisher City,Publisher Province,ISBN,URL
worthwhile,3337049198,Privately backed nuclear plant a crucial milestone,2026-05-05,Newspapers,"['Zheng, Xin']",2030555,China Daily ,BEIJING,,,https://www.proquest.com/docview/3337049198
worthwhile,3337049268,Privately backed nuclear plant a crucial milestone,2026-05-05,Newspapers,"['Zheng, Xin']",2030588,China Daily,BEIJING,,,https://www.proquest.com/docview/3337049268
risk,3110708805,Will it take an energy crisis before we act?,2024-09-27,Newspapers,"['Uhlmann, Chris']",636359,The Australian (Online),Surry Hills,NSW,,https://www.proquest.com/docview/3110708805
worthwhile,3110838014,"Alberta's rising energy needs will fuel a nuclear 'renaissance,' forum told",2024-09-28,Newspapers,"['Scace, Matt']",47083,Calgary Herald,Toronto,Ontario,,https://www.proquest.com/docview/3110838014
unrelated,3110952348,Kazakhstan: Trade Policy Review,2024-09-30,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3110952348
worthwhile,3110952426,"Singapore: Speech By Low Yen Ling, Senior Minister Of State, Ministry Of Trade And Industry, At Asia New Vision Forum (Anvf) 2024, At Capella Hotel Singapore",2024-09-30,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3110952426
risk,3111349038,Having private participation in India’s nuclear energy,2024-10-01,Newspapers,,866348,The Hindu,Chennai,Tamil Nadu,,https://www.proquest.com/docview/3111349038
unrelated,3111416224,ADFD views EMSTEEL's role in promoting sustainable industrial practices,2024-10-01,Newspapers,,40133,Emirates News Agency (WAM),Camden,DE,,https://www.proquest.com/docview/3111416224
worthwhile,3111425456,"UPSC Key | Nepal Floods, Small nuclear reactors, Cyber slavery and more",2024-09-30,Newspapers,"['Yadav, Roshni']",55068,Indian Express,NEW DELHI,,,https://www.proquest.com/docview/3111425456
unrelated,3111649643,"YOUR SAY: Solar farms can bring jobs, cheap, clean energy and agriculture",2024-10-01,Newspapers,,646508,The Border Mail,Canberra ACT,,,https://www.proquest.com/docview/3111649643
worthwhile,3111656016,Miliband pledges new era of green prosperity as last coal-fired power station turned off,2024-10-01,Newspapers,"['Pridmore, Oliver']",75978,Nottingham Evening Post,London,,,https://www.proquest.com/docview/3111656016
worthwhile,3111701162,AI and crypto use lots of energy. Nuclear power and uranium look like the perfect fix. Constellation power deal with Microsoft includes restarting a nuclear reactor,2024-10-01,Newspapers,"['Saefong, Myra P']",7077307,MarketWatch,South Brunswick,NJ,,https://www.proquest.com/docview/3111701162
unrelated,3112085038,ADEX delegation visits Emsteel Group,2024-10-01,Newspapers,,38562,TradeArabia,Camden,DE,,https://www.proquest.com/docview/3112085038
worthwhile,3112088160,"Abu Dhabi Department of Energy showcases latest policies, initiatives at WETEX 2024",2024-10-01,Newspapers,,40133,Emirates News Agency (WAM),Camden,DE,,https://www.proquest.com/docview/3112088160
risk,3112168791,"France: EU needs long-term climate investment plan aligned with just transition, French MEP tells Euronews",2024-10-03,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3112168791
unrelated,3112413700,Birthplace of Industrial Revolution bids goodbye to coal. Can Asia follow suit?,2024-10-03,Newspapers,,33108,The Straits Times,News Centre,,,https://www.proquest.com/docview/3112413700
unrelated,3112431588,Brazil: G20 - Alexandre Silveira strengthens partnership between Brazil and the United States for energy transition,2024-10-02,Newspapers,,2050693,Brazil Business News,NEW DELHI,,,https://www.proquest.com/docview/3112431588
worthwhile,3112431596,The FTI is concerned about the strengthening of the baht and is preparing to discuss with the governor of the Bank of Thailand.,2024-10-02,Newspapers,,4368386,Vietnam News Gazette,,,,https://www.proquest.com/docview/3112431596
worthwhile,3112620719,US energy report paints nuclear into the big picture,2024-10-04,Newspapers,,42763,The Australian,Surry Hills,NSW,,https://www.proquest.com/docview/3112620719
worthwhile,3112939883,Letters to the Editor,2024-10-05,Newspapers,,42764,Weekend Australian,Surry Hills,NSW,,https://www.proquest.com/docview/3112939883
risk,3113466836,British Gas owner mulls £1bn stake in Hinkley,2024-10-07,Newspapers,,33554,The Daily Telegraph,Tonbridge,,,https://www.proquest.com/docview/3113466836
risk,3113530398,British Gas owner considers £1bn investment in Hinkley Point C,2024-10-07,Newspapers,"['Oliver, Matt']",1986348,Telegraph.co.uk,London,,,https://www.proquest.com/docview/3113530398
risk,3114512189,Rolls-Royce suffers £78m loss on mini-nukes amid UK rollout delays,2024-10-09,Newspapers,"['Oliver, Matt']",1986348,Telegraph.co.uk,London,,,https://www.proquest.com/docview/3114512189
worthwhile,3114536281,"United States: Biden-Harris Administration Bringing Back Clean Nuclear Energy, Creating Clean Energy Union Jobs Across the Midwest",2024-10-10,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3114536281
worthwhile,3114586077,"Colstrip, climate and electricity rates loom large in utility board race",2024-10-09,Newspapers,"['Eggert, Amanda']",46179,The Billings Gazette,Billings,MT,,https://www.proquest.com/docview/3114586077
unrelated,3114601689,The state of N.B.'s economy in 2024; The issues,2024-10-09,Newspapers,"['Huras, Adam']",40381,Telegraph-Journal,Toronto,Ontario,,https://www.proquest.com/docview/3114601689
risk,3114619034,Rolls-Royce suffers £78m loss on mini-nukes amid rollout delays,2024-10-10,Newspapers,,33554,The Daily Telegraph,Tonbridge,,,https://www.proquest.com/docview/3114619034
unrelated,3114779442,"CLP, BASF, and Envision Energy Sign Long-Term Power Purchase Agreement to Provide 100% Renewable Energy at BASF’s Manufacturing Sites in Jiangsu Province",2024-10-11,Newspapers,,5425108,LiveNews.co.nz,NEW DELHI,,,https://www.proquest.com/docview/3114779442
worthwhile,3115149785,Singapore: Second Reading Speech by 2M Tan See Leng on the Energy Transition Measures and Other Amendments Bill,2024-10-11,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3115149785
worthwhile,3115151387,Singapore: Wrap-Up Speech by 2M Tan See Leng on the Energy Transition Measures and Other Amendments Bill,2024-10-11,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3115151387
unrelated,3115153367,Singapore: Speech by SMS Low Yen Ling at Asia New Vision Forum (ANVF) 2024,2024-10-11,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3115153367
worthwhile,3115256946,"Experts call for focusing on nuclear power projects to meet demand, lower tariff",2024-10-11,Newspapers,,29177,The Nation,,,,https://www.proquest.com/docview/3115256946
worthwhile,3115524642,Canada: Canada successfully re-opens 10-year green bond to raise an additional $2 billion,2024-10-14,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3115524642
worthwhile,3115808390,Green Hydrogen: The Cost of An ‘Entertaining’ Analysis,2024-10-12,Newspapers,,2044879,The Namibian,Camden,DE,,https://www.proquest.com/docview/3115808390
worthwhile,3115816344,Vikki Campion: Why a gigantic hydrogen tank should never be built near one of our cities,2024-10-11,Newspapers,"['Campion, Vikki']",636369,The Daily Telegraph (Online),Surry Hills,NSW,,https://www.proquest.com/docview/3115816344
unrelated,3115847640,HOW THE PARTIES COMPARE,2024-10-13,Newspapers,,42785,The Courier - Mail,Surry Hills,NSW,,https://www.proquest.com/docview/3115847640
risk,3115943061,Energy bill fears as costs blow out,2024-10-14,Newspapers,,2040384,The Australian Financial Review,Pyrmont,NSW,,https://www.proquest.com/docview/3115943061
unrelated,3115945609,Side-by-side comparison of Qld election key policy promises,2024-10-12,Newspapers,"['Fellows, Taylah', 'McCormack, Madura']",636370,The Courier - Mail (Online),Surry Hills,NSW,,https://www.proquest.com/docview/3115945609
unrelated,3116028294,HOW THE PARTIES COMPARE,2024-10-13,Newspapers,,42785,The Courier - Mail,Surry Hills,NSW,,https://www.proquest.com/docview/3116028294
unrelated,3116388681,QLD Election 2024: LNP vs Labor policies and promises compared,2024-10-13,Newspapers,"['Fellows, Taylah', 'McCormack, Madura']",636370,The Courier - Mail (Online),Surry Hills,NSW,,https://www.proquest.com/docview/3116388681
risk,3116571501,"The U.S. economy's biggest threat? China's clean-energy push. As China ramps up renewable-energy production, the U.S. risks becoming dependent on oil and other outdated energy sources",2024-10-15,Newspapers,"['Indset, Anders']",7077307,MarketWatch,South Brunswick,NJ,,https://www.proquest.com/docview/3116571501
worthwhile,3116571502,"Nvidia Rally Has Legs. Why It Can Defy China Fears, Rival AI Chips and 5 Other Things to Know Today.",2024-10-15,Newspapers,,2048938,Barron's (Online),South Brunswick,NJ,,https://www.proquest.com/docview/3116571502
worthwhile,3116571504,"Uranium and utilities stocks set to soar even higher as Big Tech goes nuclear; Microsoft and other tech giants including Oracle, Amazon.com, Apple and Alphabet need more electricity to energize their AI future",2024-10-15,Newspapers,"['Brush, Michael']",7077307,MarketWatch,South Brunswick,NJ,,https://www.proquest.com/docview/3116571504
worthwhile,3116585910,"Where to invest $10,000 for two, five, 10 and 20 years",2024-10-16,Newspapers,,2040384,The Australian Financial Review,Pyrmont,NSW,,https://www.proquest.com/docview/3116585910
risk,3116586235,Gas power emerges as new energy war front,2024-10-16,Newspapers,,2040384,The Australian Financial Review,Pyrmont,NSW,,https://www.proquest.com/docview/3116586235
worthwhile,3116661844,Google to buy nuclear power for AI datacentres in ‘world first’ deal,2024-10-15,Newspapers,"['Lawson, Alex']",35249,The Guardian,London,,,https://www.proquest.com/docview/3116661844
worthwhile,3116822819,Irish Examiner View: A coherent response to flooding is badly needed,2024-10-16,Newspapers,,105811,Irish Examiner,"Blackpool, Cork",,,https://www.proquest.com/docview/3116822819
risk,3117030555,Asia will see largest demand in hydrogen amid energy transition: McKinsey,2024-10-16,Newspapers,"['Min-hyung, Lee']",2046300,The Korea Times,Seoul,,,https://www.proquest.com/docview/3117030555
worthwhile,3117122723,United States: Biden-Harris Administration Announces $900 Million to Build and Deploy Next-generation Nuclear Technologies,2024-10-17,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3117122723
risk,3117140065,"China, India drive record coal demand",2024-10-17,Newspapers,,42763,The Australian,Surry Hills,NSW,,https://www.proquest.com/docview/3117140065
worthwhile,3117203722,Residents have say on plans for micro nuclear power plant,2024-10-17,Newspapers,"['Smith, Lewis']",26176,South Wales Echo,London,,,https://www.proquest.com/docview/3117203722
worthwhile,3117336747,TSMC Is the Chip Sector's Hero. Why That's a Risk for U.S. Tech and 5 Other Things to Know Today.,2024-10-17,Newspapers,,2048938,Barron's (Online),South Brunswick,NJ,,https://www.proquest.com/docview/3117336747
worthwhile,3117387053,Hydrogen Hype: Balancing the Equation – Part 2,2024-10-16,Newspapers,,2044879,The Namibian,Camden,DE,,https://www.proquest.com/docview/3117387053
worthwhile,3117719653,BLUE SKY THINKING,2024-10-18,Newspapers,,42763,The Australian,Surry Hills,NSW,,https://www.proquest.com/docview/3117719653
worthwhile,3117732253,"Nuclear-energy ETFs surge as uranium prices remain rangebound. Is now a good time to invest? Rising electricity demand related to AI and shrinking supply suggest uranium prices could bounce above $107 a pound, says one analyst",2024-10-17,Newspapers,"['Wang, Isabel']",7077307,MarketWatch,South Brunswick,NJ,,https://www.proquest.com/docview/3117732253
worthwhile,3117776505,THE SUBCOMPACT SOLUTION,2021-07-17,Newspapers,"['McCLEARN, MATTHEW']",1396354,The Globe and Mail (1936-),Toronto,Ontario,,https://www.proquest.com/docview/3117776505
risk,3117827388,Why it's so hard to quit fossil fuels,2021-10-18,Newspapers,,1396354,The Globe and Mail (1936-),Toronto,Ontario,,https://www.proquest.com/docview/3117827388
unrelated,3117918595,From Wall Street to Dalal Street: Impact of US presidential elections on Indian stock market [India Business],2024-10-18,Newspapers,,29265,The Times of India,New Delhi,,,https://www.proquest.com/docview/3117918595
unrelated,3117965178,a divided nation,2021-12-11,Newspapers,"['Savoie, Donald J']",1396354,The Globe and Mail (1936-),Toronto,Ontario,,https://www.proquest.com/docview/3117965178
worthwhile,3117969466,Emission reduction requires a new look at nuclear energy,2021-11-27,Newspapers,"['Gee, Marcus']",1396354,The Globe and Mail (1936-),Toronto,Ontario,,https://www.proquest.com/docview/3117969466
worthwhile,3118084953,"Nuclear-energy ETFs surge as uranium prices remain rangebound. Is now a good time to invest? Rising electricity demand related to AI and shrinking supply suggest uranium prices could bounce above $107 a pound, says one analyst",2024-10-18,Newspapers,"['Wang, Isabel']",7077307,MarketWatch,South Brunswick,NJ,,https://www.proquest.com/docview/3118084953
worthwhile,3118084954,"Uranium and utilities stocks can soar even higher as Big Tech goes nuclear; Microsoft and other tech giants including Oracle, Amazon.com, Apple and Alphabet need more electricity to energize their AI future",2024-10-18,Newspapers,"['Brush, Michael']",7077307,MarketWatch,South Brunswick,NJ,,https://www.proquest.com/docview/3118084954
worthwhile,3118173690,World: Amazon follows Google in taking the nuclear option to power data centres,2024-10-21,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3118173690
risk,3118185238,Ban on building nuclear plants being reconsidered,2024-10-19,Newspapers,"['Begum, Shabana']",33108,The Straits Times,News Centre,,,https://www.proquest.com/docview/3118185238
risk,3118296276,"The U.S. economy's biggest threat? China's clean-energy push. As China ramps up renewable-energy production, the U.S. risks becoming dependent on oil and other outdated energy sources",2024-10-19,Newspapers,"['Indset, Anders']",7077307,MarketWatch,South Brunswick,NJ,,https://www.proquest.com/docview/3118296276
worthwhile,3118296278,"Uranium and utilities stocks can soar even higher as Big Tech goes nuclear; Microsoft and other tech giants including Oracle, Amazon.com, Apple and Alphabet need more electricity to energize their AI future",2024-10-19,Newspapers,"['Brush, Michael']",7077307,MarketWatch,South Brunswick,NJ,,https://www.proquest.com/docview/3118296278
risk,3118362584,Demand for 'fair tax' in budget to protect oil and gas jobs in North Sea,2024-10-20,Newspapers,"['Bol, David']",46327,Scotland on Sunday,Tunbridge Wells,,,https://www.proquest.com/docview/3118362584
risk,3118462886,Labor supersizes next renewable energy auction,2024-10-21,Newspapers,,2040384,The Australian Financial Review,Pyrmont,NSW,,https://www.proquest.com/docview/3118462886
unrelated,3118813992,European Union: First European Union-Gulf Cooperation Council Summit - Joint Statement,2024-10-22,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3118813992
risk,3118848986,Britain’s heading for a nuclear power crunch. Blame the French,2024-10-21,Newspapers,,2040502,Yerepouni Daily News,Camden,DE,,https://www.proquest.com/docview/3118848986
worthwhile,3118955126,"Amazon, Google make dueling nuclear investments to power data centers with clean energy",2024-10-16,Newspapers,,46192,The Daily Reporter,Minneapolis,MN,,https://www.proquest.com/docview/3118955126
worthwhile,3119060921,UAE officials highlight commitment to clean energy transition on World Energy Day,2024-10-21,Newspapers,,40133,Emirates News Agency (WAM),Camden,DE,,https://www.proquest.com/docview/3119060921
risk,3119112361,O'Brien misses the chance to detail case for nuclear,2024-10-23,Newspapers,,2040384,The Australian Financial Review,Pyrmont,NSW,,https://www.proquest.com/docview/3119112361
risk,3119112458,"King coal to stay on throne, says Coalition",2024-10-23,Newspapers,,2040384,The Australian Financial Review,Pyrmont,NSW,,https://www.proquest.com/docview/3119112458
risk,3119231040,Meet the influencer trying to get Italy to go nuclear,2024-10-22,Newspapers,,2040502,Yerepouni Daily News,Camden,DE,,https://www.proquest.com/docview/3119231040
risk,3119342021,The green debate will only intensify on road to net zero,2021-11-25,Newspapers,"['Jones, Jeffrey']",1396354,The Globe and Mail (1936-),Toronto,Ontario,,https://www.proquest.com/docview/3119342021
risk,3119342273,A decision that could shape the future of Canada's nuclear industry,2021-12-27,Newspapers,"['McCLEARN, MATTHEW']",1396354,The Globe and Mail (1936-),Toronto,Ontario,,https://www.proquest.com/docview/3119342273
risk,3119602193,Nuclear an expensive fantasy,2024-10-24,Newspapers,,2040384,The Australian Financial Review,Pyrmont,NSW,,https://www.proquest.com/docview/3119602193
unrelated,3119913934,Grattan on Friday: a possible Trump victory is making the Albanese government cagey about its 2035 climate target,2024-10-24,Newspapers,,5425109,EveningReport.nz,NEW DELHI,,,https://www.proquest.com/docview/3119913934
worthwhile,3120132906,The U.S. Power Crunch Is Creating High Stakes for Tech,2024-10-24,Newspapers,"['Kissane, Carolyn']",2048938,Barron's (Online),South Brunswick,NJ,,https://www.proquest.com/docview/3120132906
unrelated,3120144776,China 'vital partner' for Abu Dhabi,2024-10-25,Newspapers,,2030588,China Daily,BEIJING,,,https://www.proquest.com/docview/3120144776
unrelated,3120144831,China 'vital partner' for Abu Dhabi,2024-10-25,Newspapers,,2030555,China Daily,BEIJING,,,https://www.proquest.com/docview/3120144831
worthwhile,3120163488,Get nuclear in the mix: Stokes,2024-10-25,Newspapers,,42763,The Australian,Surry Hills,NSW,,https://www.proquest.com/docview/3120163488
unrelated,3120164841,"2024 Qld election: Every candidate, promise, polling booth, what you need to know",2024-10-24,Newspapers,,636370,The Courier - Mail (Online),Surry Hills,NSW,,https://www.proquest.com/docview/3120164841
worthwhile,3120165091,Get nuclear in the mix: Stokes,2024-10-25,Newspapers,,42763,The Australian,Surry Hills,NSW,,https://www.proquest.com/docview/3120165091
worthwhile,3120177831,"Inside Amazon's nuclear ambitions, its 'Piano Man' project, and CEO Andy Jassy's support",2024-10-24,Newspapers,"['Kim, Eugene']",4682318,Business Insider,New York,NY,,https://www.proquest.com/docview/3120177831
worthwhile,3120356318,Nuclear energy could contribute to Asean regional grid: Panellist,2024-10-25,Newspapers,"['Tan, Cheryl']",33108,The Straits Times,News Centre,,,https://www.proquest.com/docview/3120356318
risk,3120519835,Tetris man’s new puzzle is saving planet,2024-10-26,Newspapers,,38488,The Northern Advocate,Auckland,,,https://www.proquest.com/docview/3120519835
risk,3120520022,Tetris man’s new puzzle is saving planet,2024-10-26,Newspapers,,2043507,Wanganui Chronicle,Auckland,,,https://www.proquest.com/docview/3120520022
risk,3120520067,Tetris man’s new puzzle is saving planet,2024-10-26,Newspapers,,44839,The New Zealand Herald,Auckland,,,https://www.proquest.com/docview/3120520067
risk,3120520070,Tetris man’s new puzzle is saving planet,2024-10-26,Newspapers,,38487,The Daily Post,Auckland,,,https://www.proquest.com/docview/3120520070
risk,3120521890,Tetris man’s new puzzle is saving planet,2024-10-26,Newspapers,,38485,Hawkes Bay Today,Auckland,,,https://www.proquest.com/docview/3120521890
risk,3120521939,Tetris man’s new puzzle is saving planet,2024-10-26,Newspapers,,38485,Hawkes Bay Today,Auckland,,,https://www.proquest.com/docview/3120521939
worthwhile,3120591442,Big Tech goes nuclear: Amazon's pitch to use power plants shows the crucial role the energy source plays for AI,2024-10-25,Newspapers,"['DeFrancesco, Dan']",4682318,Business Insider,New York,NY,,https://www.proquest.com/docview/3120591442
unrelated,3120917859,A looming Trump victory is putting Albanese's cagey climate target in peril,2024-10-26,Newspapers,"['Grattan, Michelle']",726339,The Canberra Times,Canberra ACT,,,https://www.proquest.com/docview/3120917859
unrelated,3120921512,QLD Election 2024: LNP vs Labor policies and promises compared,2024-10-22,Newspapers,"['Fellows, Taylah', 'McCormack, Madura']",636370,The Courier - Mail (Online),Surry Hills,NSW,,https://www.proquest.com/docview/3120921512
unrelated,3120929229,"2024 Qld election: Every candidate, promise, polling booth, what you need to know",2024-10-26,Newspapers,,636370,The Courier - Mail (Online),Surry Hills,NSW,,https://www.proquest.com/docview/3120929229
risk,3120944523,'It has become impossible to build things in Britain',2024-10-27,Newspapers,,32356,The Sunday Telegraph,Tonbridge,,,https://www.proquest.com/docview/3120944523
risk,3120999827,Investors bet against nuclear despite big tech interest,2024-10-28,Newspapers,,43154,The Age,Sydney,New South Wales,,https://www.proquest.com/docview/3120999827
risk,3120999859,Investors bet against nuclear despite big tech interest,2024-10-28,Newspapers,,44841,Sydney Morning Herald,Sydney,New South Wales,,https://www.proquest.com/docview/3120999859
worthwhile,3121001268,"It’s become impossible to build things in Britain, says mini-nuke executive",2024-10-27,Newspapers,"['Oliver, Matt']",1986348,Telegraph.co.uk,London,,,https://www.proquest.com/docview/3121001268
unrelated,3121098043,David Crisafulli as Qld Premier: How the Qld government works and who controls what,2024-10-26,Newspapers,,636370,The Courier - Mail (Online),Surry Hills,NSW,,https://www.proquest.com/docview/3121098043
risk,3121100981,"Even with a price tag, renewables future is already broken",2024-10-28,Newspapers,,42763,The Australian,Surry Hills,NSW,,https://www.proquest.com/docview/3121100981
risk,3121265933,"Even with a price tag, our renewables future is already broken",2024-10-27,Newspapers,"['Cater, Nick']",636359,The Australian (Online),Surry Hills,NSW,,https://www.proquest.com/docview/3121265933
unrelated,3121319041,David Crisafulli as Qld Premier: How the Qld government works and who controls what,2024-10-27,Newspapers,,636370,The Courier - Mail (Online),Surry Hills,NSW,,https://www.proquest.com/docview/3121319041
risk,3121336443,Atomic power probe shows experts divided on nuclear energy,2024-10-28,Newspapers,"['Wang, Jessica', 'Olbrycht-Palmer, Joseph']",636365,News.com.au,Surry Hills,NSW,,https://www.proquest.com/docview/3121336443
worthwhile,3122684302,Japan: Japanese nuclear reactor that survived earthquake restarts,2024-11-01,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3122684302
